"Year";"Basin";"Indicator";"Description";"Criteria";"Obs";"Target";"Weight";"Response"
2000;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.89008552633078;7.7;1;-1
2000;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.81482075136818;7.2;1;-1
2000;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.69208186945251;6.84;1;-1
2000;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.06040730006689;8.03333333333333;1;-1
2000;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;2.79962419634035;5.5;40;-1
2000;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.53212925742315;7.6;1;-1
2000;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.42863280215841;5.8;20;-1
2000;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.8604142578887;6.8;40;-1
2000;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.1301805502005;5;30;-1
2001;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.85409092151808;7.7;1;-1
2001;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;8.02867624475017;7.2;1;-1
2001;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.97204458103396;6.84;1;-1
2001;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.64406500833493;8.03333333333333;1;-1
2001;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.3741702654232;5.5;40;-1
2001;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.80976139041457;7.6;1;-1
2001;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.11822999379526;5.8;20;-1
2001;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.75277932844776;6.8;40;-1
2001;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.80152638326418;5;30;-1
2002;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.51181367023411;7.7;1;-1
2002;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.13356918289227;7.2;1;-1
2002;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.83712457439427;6.84;1;-1
2002;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.56225693590201;8.03333333333333;1;-1
2002;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.55356821204109;5.5;40;-1
2002;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.37602411833394;7.6;1;-1
2002;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.4762740012344;5.8;20;-1
2002;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.7074646342115;6.8;40;-1
2002;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.29872151104371;5;30;-1
2003;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.34987595123964;7.7;1;-1
2003;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;8.20815754224628;7.2;1;-1
2003;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.39002770027327;6.84;1;-1
2003;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.94273830912714;8.03333333333333;1;-1
2003;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.59556523507108;5.5;40;-1
2003;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.74910778947972;7.6;1;-1
2003;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.59863601450324;5.8;20;-1
2003;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.6639324035179;6.8;40;-1
2003;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.23554345659458;5;30;-1
2004;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.62042335608078;7.7;1;-1
2004;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.54006164229282;7.2;1;-1
2004;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.78765832221264;6.84;1;-1
2004;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.24149106474946;8.03333333333333;1;-1
2004;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.07611502117265;5.5;40;-1
2004;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.70037602202492;7.6;1;-1
2004;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.25547191708018;5.8;20;-1
2004;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.7634029909646;6.8;40;-1
2004;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;2.62036214613094;5;30;-1
2005;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.37460525253115;7.7;1;-1
2005;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;8.1246318747979;7.2;1;-1
2005;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.5751217788527;6.84;1;-1
2005;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.44115252167987;8.03333333333333;1;-1
2005;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.06096542343917;5.5;40;-1
2005;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.84220384330414;7.6;1;-1
2005;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.46506268786353;5.8;20;-1
2005;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.02595564904763;6.8;40;-1
2005;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;2.71250904748865;5;30;-1
2006;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.07206553194939;7.7;1;-1
2006;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.56009956382856;7.2;1;-1
2006;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.36868688054207;6.84;1;-1
2006;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.0896849340319;8.03333333333333;1;-1
2006;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.28418864257839;5.5;40;-1
2006;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.64870925674211;7.6;1;-1
2006;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.69494846147548;5.8;20;-1
2006;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.44937127038476;6.8;40;-1
2006;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.0728882502855;5;30;-1
2007;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.49774908476233;7.7;1;-1
2007;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.34648899560799;7.2;1;-1
2007;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.2169842044424;6.84;1;-1
2007;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.29232974420357;5.5;40;-1
2007;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.28324075993561;7.6;1;-1
2007;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.28698075663117;5.8;20;-1
2007;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.1673578093167;6.8;40;-1
2007;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;2.8767751636764;5;30;-1
2008;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.11373743899182;7.7;1;-1
2008;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.3147810159231;7.2;1;-1
2008;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.25320438085745;6.84;1;-1
2008;"Danish_Straits";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.45085911485542;8.03333333333333;1;-1
2008;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.83789415229387;5.5;40;-1
2008;"Kattegat";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;7.01558028372596;7.6;1;-1
2008;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.13673367815103;5.8;20;-1
2008;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.88282938234441;6.8;40;-1
2008;"Gulf_of_Riga";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;3.76021253592461;5;30;-1
2009;"Baltic_Proper";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.39980801497755;7.7;1;-1
2009;"Arkona_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;8.08631236167723;7.2;1;-1
2009;"Bornholm_Basin";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;8.6076075740409;6.84;1;-1
2009;"Gulf_of_Finland";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;4.66770810991629;5.5;40;-1
2009;"Bothnian_Bay";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;5.4282561340614;5.8;20;-1
2009;"Bothnian_Sea";"secchi_summer";"secchi depth summer average (Jun-Sep)";2;6.56770520477353;6.8;40;-1
2000;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.96314869487107;1.6;1;1
2000;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.6847943716875;1.8;1;1
2000;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.2816500389768;1.8;1;1
2000;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.58701105242388;1.63333333333333;1;1
2000;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;4.74058766433425;2;60;1
2000;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.68581485097117;1.5;1;1
2000;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.77623360173308;2;80;1
2000;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.69215534596042;1.5;60;1
2000;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;5.99132761903849;2.7;70;1
2001;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.70554317257606;1.6;1;1
2001;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.89243104180975;1.8;1;1
2001;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.19365471557663;1.8;1;1
2001;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.20635978650746;1.63333333333333;1;1
2001;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;4.87752098276586;2;60;1
2001;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.45727808876704;1.5;1;1
2001;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.83814899093526;2;80;1
2001;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.58166539019711;1.5;60;1
2001;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.96144709881498;2.7;70;1
2002;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.87876889413781;1.6;1;1
2002;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.17279056522316;1.8;1;1
2002;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.2192787799804;1.8;1;1
2002;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.30337653523739;1.63333333333333;1;1
2002;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;5.79059185529409;2;60;1
2002;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.07580870147623;1.5;1;1
2002;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;3.35677610676969;2;80;1
2002;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.42951994240211;1.5;60;1
2002;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;4.32974816896647;2.7;70;1
2003;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.30515591432681;1.6;1;1
2003;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.46558027084402;1.8;1;1
2003;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.01614177777129;1.8;1;1
2003;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.76066269565094;1.63333333333333;1;1
2003;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;3.70103119088614;2;60;1
2003;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.02451269102009;1.5;1;1
2003;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.35845355434402;2;80;1
2003;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.36543857064564;1.5;60;1
2003;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;3.72812055739143;2.7;70;1
2004;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.80351898688809;1.6;1;1
2004;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.16436022899481;1.8;1;1
2004;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.80702300682887;1.8;1;1
2004;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.51882239404833;1.63333333333333;1;1
2004;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;5.46031383740993;2;60;1
2004;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.3534416637944;1.5;1;1
2004;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.99375835940443;2;80;1
2004;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.61565753603221;1.5;60;1
2004;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;6.18703650651843;2.7;70;1
2005;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;3.12491527279719;1.6;1;1
2005;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.53635797848452;1.8;1;1
2005;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.25631214083841;1.8;1;1
2005;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.02397857442504;1.63333333333333;1;1
2005;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;4.92612384960713;2;60;1
2005;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.2548483610315;1.5;1;1
2005;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.54029725617375;2;80;1
2005;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.81821396852434;1.5;60;1
2005;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;7.0111393523112;2.7;70;1
2006;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.12030225530261;1.6;1;1
2006;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.79788682339851;1.8;1;1
2006;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.7420041046759;1.8;1;1
2006;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.55971173855749;1.63333333333333;1;1
2006;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;5.07285390523013;2;60;1
2006;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.09761953720692;1.5;1;1
2006;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.11116191109792;2;80;1
2006;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;3.06794685658477;1.5;60;1
2006;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;4.24779286257241;2.7;70;1
2007;"Baltic_Proper";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.97164752869212;1.6;1;1
2007;"Arkona_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.28211456727054;1.8;1;1
2007;"Bornholm_Basin";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.42405911564207;1.8;1;1
2007;"Danish_Straits";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.72798796303861;1.63333333333333;1;1
2007;"Gulf_of_Finland";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.61680379072038;2;60;1
2007;"Kattegat";"chl_summer";"chl-a summer average (Jun-Sep)";2;1.97699708699524;1.5;1;1
2007;"Bothnian_Bay";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.64128789305569;2;80;1
2007;"Bothnian_Sea";"chl_summer";"chl-a summer average (Jun-Sep)";2;2.15170226287855;1.5;60;1
2007;"Gulf_of_Riga";"chl_summer";"chl-a summer average (Jun-Sep)";2;4.56272411095946;2.7;70;1
